defect_type,defect_category,severity_level,description,typical_causes,prevention_methods,detection_methods,remediation_actions
POROSITY,METALLURGICAL,LOW,Small voids or gas bubbles in the material,Insufficient laser power or high scan speed,Optimize laser parameters and scan strategy,CT scanning and metallographic analysis,Post-process heat treatment
POROSITY,METALLURGICAL,MEDIUM,Medium-sized voids affecting material integrity,Improper atmosphere or powder contamination,Maintain clean atmosphere and powder quality,CT scanning and density measurement,Hot isostatic pressing
POROSITY,METALLURGICAL,HIGH,Large voids compromising structural integrity,Critical process parameter deviations,Strict process control and monitoring,CT scanning and mechanical testing,Component rejection or remanufacturing
CRACK,STRUCTURAL,LOW,Small surface cracks not affecting functionality,Thermal stress during cooling,Optimize cooling rate and support structures,Visual inspection and dye penetrant testing,Surface treatment or minor repair
CRACK,STRUCTURAL,MEDIUM,Cracks extending into the material,Excessive thermal gradients or residual stress,Improve support design and process parameters,CT scanning and ultrasonic testing,Structural repair or component replacement
CRACK,STRUCTURAL,HIGH,Critical cracks affecting structural integrity,Severe process deviations or material issues,Comprehensive process validation,CT scanning and destructive testing,Component rejection
INCLUSION,METALLURGICAL,LOW,Small foreign particles in the material,Powder contamination or handling issues,Maintain clean powder handling procedures,Metallographic analysis and microscopy,Powder cleaning and process optimization
INCLUSION,METALLURGICAL,MEDIUM,Medium-sized inclusions affecting properties,Poor powder quality or contamination,Implement strict powder quality control,CT scanning and material analysis,Powder replacement and process adjustment
INCLUSION,METALLURGICAL,HIGH,Large inclusions compromising material integrity,Severe powder contamination,Establish comprehensive quality control,CT scanning and material testing,Component rejection and powder replacement
DELAMINATION,STRUCTURAL,LOW,Minor layer separation at interfaces,Insufficient layer bonding,Optimize layer parameters and scan strategy,CT scanning and layer analysis,Process parameter adjustment
DELAMINATION,STRUCTURAL,MEDIUM,Significant layer separation,Poor interlayer bonding or contamination,Improve layer bonding and cleanliness,CT scanning and mechanical testing,Structural repair or remanufacturing
DELAMINATION,STRUCTURAL,HIGH,Critical layer separation affecting integrity,Severe bonding issues or process failures,Comprehensive process validation,CT scanning and destructive testing,Component rejection
WARPAGE,GEOMETRIC,LOW,Minor dimensional distortion,Residual stress and thermal gradients,Optimize support structures and cooling,Coordinate measurement and inspection,Post-process straightening
WARPAGE,GEOMETRIC,MEDIUM,Significant dimensional deviation,Excessive thermal stress or poor support,Improve support design and process control,Coordinate measurement and analysis,Mechanical correction or remanufacturing
