standard_name,standard_type,grade,min_value,max_value,description,applicable_materials,applicable_processes
density_standard,quality,EXCELLENT,95,100,Excellent density standard for premium quality parts,ALL,ALL
density_standard,quality,GOOD,90,94.99,Good density standard for high quality parts,ALL,ALL
density_standard,quality,ACCEPTABLE,85,89.99,Acceptable density standard for standard quality parts,ALL,ALL
density_standard,quality,POOR,80,84.99,Poor density standard requiring improvement,ALL,ALL
density_standard,quality,UNACCEPTABLE,0,79.99,Unacceptable density standard,ALL,ALL
surface_roughness_standard,quality,EXCELLENT,0,5,Excellent surface roughness standard,ALL,ALL
surface_roughness_standard,quality,GOOD,5.01,10,Good surface roughness standard,ALL,ALL
surface_roughness_standard,quality,ACCEPTABLE,10.01,20,Acceptable surface roughness standard,ALL,ALL
surface_roughness_standard,quality,POOR,20.01,30,Poor surface roughness standard,ALL,ALL
surface_roughness_standard,quality,UNACCEPTABLE,30.01,100,Unacceptable surface roughness standard,ALL,ALL
dimensional_accuracy_standard,quality,EXCELLENT,0,0.05,Excellent dimensional accuracy standard,ALL,ALL
dimensional_accuracy_standard,quality,GOOD,0.051,0.1,Good dimensional accuracy standard,ALL,ALL
dimensional_accuracy_standard,quality,ACCEPTABLE,0.101,0.2,Acceptable dimensional accuracy standard,ALL,ALL
dimensional_accuracy_standard,quality,POOR,0.201,0.5,Poor dimensional accuracy standard,ALL,ALL
dimensional_accuracy_standard,quality,UNACCEPTABLE,0.501,1,Unacceptable dimensional accuracy standard,ALL,ALL
defect_count_standard,quality,EXCELLENT,0,0,No defects allowed for excellent quality,ALL,ALL
defect_count_standard,quality,GOOD,1,5,Low defect count for good quality,ALL,ALL
defect_count_standard,quality,ACCEPTABLE,6,10,Moderate defect count for acceptable quality,ALL,ALL
defect_count_standard,quality,POOR,11,20,High defect count for poor quality,ALL,ALL
defect_count_standard,quality,UNACCEPTABLE,21,1000,Unacceptable defect count,ALL,ALL
uniformity_standard,quality,EXCELLENT,90,100,Excellent powder bed uniformity,ALL,ALL
uniformity_standard,quality,GOOD,80,89.99,Good powder bed uniformity,ALL,ALL
uniformity_standard,quality,ACCEPTABLE,70,79.99,Acceptable powder bed uniformity,ALL,ALL
uniformity_standard,quality,POOR,60,69.99,Poor powder bed uniformity,ALL,ALL
uniformity_standard,quality,UNACCEPTABLE,0,59.99,Unacceptable powder bed uniformity,ALL,ALL
coverage_standard,quality,EXCELLENT,95,100,Excellent powder coverage,ALL,ALL
coverage_standard,quality,GOOD,90,94.99,Good powder coverage,ALL,ALL
coverage_standard,quality,ACCEPTABLE,85,89.99,Acceptable powder coverage,ALL,ALL
coverage_standard,quality,POOR,80,84.99,Poor powder coverage,ALL,ALL
coverage_standard,quality,UNACCEPTABLE,0,79.99,Unacceptable powder coverage,ALL,ALL
thickness_consistency_standard,quality,EXCELLENT,90,100,Excellent thickness consistency,ALL,ALL
thickness_consistency_standard,quality,GOOD,80,89.99,Good thickness consistency,ALL,ALL
thickness_consistency_standard,quality,ACCEPTABLE,70,79.99,Acceptable thickness consistency,ALL,ALL
thickness_consistency_standard,quality,POOR,60,69.99,Poor thickness consistency,ALL,ALL
thickness_consistency_standard,quality,UNACCEPTABLE,0,59.99,Unacceptable thickness consistency,ALL,ALL
ct_quality_standard,quality,EXCELLENT,90,100,Excellent CT scan quality,ALL,ALL
ct_quality_standard,quality,GOOD,80,89.99,Good CT scan quality,ALL,ALL
ct_quality_standard,quality,ACCEPTABLE,70,79.99,Acceptable CT scan quality,ALL,ALL
ct_quality_standard,quality,POOR,60,69.99,Poor CT scan quality,ALL,ALL
ct_quality_standard,quality,UNACCEPTABLE,0,59.99,Unacceptable CT scan quality,ALL,ALL
